smallcode,total,APPROVED BY Pengawas,COMPLETED BY Admin Kabupaten,DRAFT,EDITED BY Admin Kabupaten,OPEN,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,REVOKED BY Admin Kabupaten,REVOKED BY Pengawas,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT
6.40901E+15,58,23,0,0,0,2,0,13,0,2,18,0
6.40901E+15,48,3,0,0,0,42,0,0,0,0,3,0
6.40901E+15,69,27,0,0,0,0,0,0,0,0,42,0
6.40901E+15,66,26,0,0,0,21,0,0,0,0,19,0
6.40901E+15,51,1,0,0,0,50,0,0,0,0,0,0
6.40901E+15,46,0,0,0,0,45,0,0,0,0,0,1
6.40901E+15,124,89,0,1,2,0,0,16,0,1,15,0
6.40901E+15,76,15,0,0,0,44,0,2,0,0,15,0
6.40901E+15,77,36,0,0,0,3,0,15,0,0,23,0
6.40901E+15,133,1,0,0,0,130,0,0,0,0,1,1
6.40901E+15,81,6,0,0,0,75,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,3,0,0,0,0,3,0,0,0,0,0,0
6.40901E+15,26,23,0,0,0,1,0,2,0,0,0,0
6.40901E+15,1,1,0,0,0,0,0,0,0,0,0,0
6.40901E+15,128,0,0,0,0,128,0,0,0,0,0,0
6.40901E+15,80,55,0,0,3,1,1,2,0,0,18,0
6.40901E+15,103,62,0,0,0,24,0,0,0,0,17,0
6.40901E+15,189,179,0,0,4,3,0,3,0,0,0,0
6.40901E+15,147,122,0,0,6,0,1,2,0,0,16,0
6.40901E+15,198,0,0,0,0,198,0,0,0,0,0,0
6.40901E+15,165,123,0,0,0,12,0,1,0,0,29,0
6.40901E+15,6,6,0,0,0,0,0,0,0,0,0,0
6.40901E+15,179,60,0,0,0,109,0,0,0,0,10,0
6.40901E+15,121,0,0,0,0,121,0,0,0,0,0,0
6.40901E+15,151,26,0,22,0,84,0,1,0,0,18,0
6.40901E+15,112,85,0,13,1,7,0,3,0,0,3,0
6.40901E+15,115,33,0,3,1,76,1,1,0,0,0,0
6.40901E+15,95,0,0,0,0,94,0,0,0,0,0,1
6.40901E+15,64,6,0,6,0,52,0,0,0,0,0,0
6.40901E+15,89,0,0,0,0,89,0,0,0,0,0,0
6.40901E+15,159,0,0,0,0,157,0,0,0,0,0,2
6.40901E+15,99,0,0,0,0,99,0,0,0,0,0,0
6.40901E+15,114,12,0,0,0,100,0,1,0,0,1,0
6.40901E+15,60,32,0,0,1,20,0,0,0,0,7,0
6.40901E+15,144,31,0,0,0,113,0,0,0,0,0,0
6.40901E+15,40,14,0,0,0,22,0,1,0,0,3,0
6.40901E+15,57,39,0,0,0,14,0,3,0,0,1,0
6.40901E+15,50,0,0,0,0,50,0,0,0,0,0,0
6.40901E+15,65,31,0,0,0,6,0,0,0,0,28,0
6.40901E+15,55,0,0,0,0,55,0,0,0,0,0,0
6.40901E+15,65,1,0,0,0,61,0,0,0,0,3,0
6.40901E+15,41,0,0,0,0,41,0,0,0,0,0,0
6.40901E+15,28,21,0,0,0,0,0,0,0,0,7,0
6.40901E+15,36,0,0,0,0,36,0,0,0,0,0,0
6.40901E+15,92,9,0,0,0,81,0,1,0,0,1,0
